country,GDP,Population,LifeExp,ChildMortality,MaternalMortality,Year
Afghanistan,19835289287.93823,32688267.42857143,62.68366666666666,76.48571428571428,462.4,2012-2016
Albania,12325679903.40935,2894424.75,77.50085714285714,10.325,29.5,2012-2016
Algeria,184160789265.7357,38990154.428571425,75.47666666666667,25.414285714285715,143.4,2012-2016
Andorra,3083108712.9154115,79117.0,,3.5500000000000003,,2012-2016
Angola,114622277803.9126,27411986.166666668,60.757799999999996,92.2,501.25,2012-2016
Antigua and Barbuda,1340312623.45679,99395.66666666667,76.0492,8.2,,2012-2016
Argentina,568587973230.1947,43192402.5,76.2518,11.783333333333333,53.75,2012-2016
Armenia,10448521693.87474,2899482.5555555555,73.89962499999999,15.61111111111111,29.857142857142858,2012-2016
Australia,1375137307628.97,23303101.75,82.14076655052266,4.1125,6.166666666666667,2012-2016
Austria,410144749806.50775,8569724.57142857,80.99593495934961,3.8714285714285714,4.0,2012-2016
Azerbaijan,57103129860.53904,9410211.444444444,71.47175,30.866666666666667,25.857142857142858,2012-2016
Bahamas,11033101250.0,379034.875,75.22485714285713,9.15,82.83333333333333,2012-2016
Bahrain,31567929331.307,1354642.4285714286,76.52699999999999,7.771428571428571,15.4,2012-2016
Bangladesh,178726758598.03424,159348248.14285713,71.5905,38.942857142857136,201.4,2012-2016
Barbados,4606985140.117515,283140.0,75.49616666666667,13.414285714285715,29.0,2012-2016
Belarus,60759610765.1315,9486060.888888888,72.02804878048782,4.655555555555556,4.571428571428571,2012-2016
Belgium,494141176350.3359,11249634.333333334,80.84926829268292,4.05,7.0,2012-2016
Belize,1687703842.857143,351813.0,70.0045,16.342857142857145,30.0,2012-2016
Benin,8589350989.568902,10263360.57142857,60.20099999999999,105.97142857142856,423.2,2012-2016
"Bolivia, Plurinational State of",29850331972.43914,10482774.875,67.85199999999999,40.025,227.83333333333334,2012-2016
Bosnia and Herzegovina,17542177876.071186,3563165.8333333335,76.564,6.133333333333334,11.75,2012-2016
Botswana,15554769335.742516,2189585.5,64.69560000000001,41.46666666666666,138.75,2012-2016
Brazil,2179224255722.033,203840324.0,74.823,16.52857142857143,52.6,2012-2016
Brunei Darussalam,15116634313.752068,414433.8333333333,76.95060000000001,10.5,23.75,2012-2016
Bulgaria,53644977841.81106,7252098.375,74.25644599303136,9.175,10.833333333333334,2012-2016
Burkina Faso,10947621679.900509,17240833.875,58.648,98.35,397.0,2012-2016
Burundi,2699799540.234036,9706909.875,56.08228571428571,75.67500000000001,770.1666666666666,2012-2016
Cambodia,16180168748.598898,15122977.5,67.74714285714286,36.05,180.66666666666666,2012-2016
Cameroon,32387981501.55685,22550906.666666668,57.13439999999999,92.26666666666665,614.0,2012-2016
Canada,1689726258170.0798,35464105.28571428,81.82261788617889,5.371428571428572,7.4,2012-2016
Cape Verde,1741630052.370248,529897.1666666666,72.4402,20.349999999999998,45.0,2012-2016
Central African Republic,1779971308.4323986,4550877.0,50.6136,132.23333333333332,875.75,2012-2016
Chad,11682237238.61706,13579823.285714285,51.923,134.6142857142857,910.6,2012-2016
Chile,256534271086.15057,17586720.14285714,79.01616666666666,8.085714285714285,23.6,2012-2016
China,9892017672467.34,1363761428.5714285,75.81383333333333,11.928571428571429,30.0,2012-2016
Colombia,318344920538.7292,47300558.0,73.761375,16.844444444444445,68.14285714285714,2012-2016
Comoros,607828219.2444018,759751.2857142857,63.02483333333334,75.68571428571428,354.8,2012-2016
Congo,11294045193.249624,4860681.285714285,62.967499999999994,53.92857142857143,471.0,2012-2016
"Congo, the Democratic Republic of the",31566730729.08506,72426670.875,58.230999999999995,103.675,749.5,2012-2016
Cook Islands,,,,,,2012-2016
Costa Rica,47931164749.815506,4715317.0,79.22928571428572,9.6,27.5,2012-2016
Croatia,55799601689.67733,4242052.428571428,77.16585365853659,4.985714285714286,9.0,2012-2016
Cuba,79519475000.0,11442688.333333334,79.43520000000001,5.616666666666666,40.25,2012-2016
Cyprus,22327844922.222965,1156988.0,80.166,2.966666666666667,7.0,2012-2016
Czech Republic,203742960429.67032,10542353.0,78.39707317073172,3.1666666666666665,4.0,2012-2016
Côte d'Ivoire,33932464271.651966,22835901.0,52.52140000000001,96.21666666666668,678.25,2012-2016
Denmark,325004219029.59534,5637731.625,80.02229965156793,4.1875,7.0,2012-2016
Djibouti,1562681094.7044752,919461.5,61.9464,66.85,241.5,2012-2016
Dominica,531794037.0370371,72975.33333333333,,29.666666666666668,,2012-2016
Dominican Republic,66324638057.97685,10401909.714285715,73.38466666666666,32.12857142857143,94.6,2012-2016
Ecuador,91821692125.0,15781333.0,75.67257142857144,16.0625,71.16666666666667,2012-2016
Egypt,278671729179.1839,90807303.375,70.92714285714285,25.312499999999996,36.333333333333336,2012-2016
El Salvador,22325859428.57143,6278984.428571428,72.82133333333333,16.442857142857143,55.8,2012-2016
Equatorial Guinea,17165872376.002466,1152721.8333333333,57.160199999999996,97.81666666666666,352.5,2012-2016
Estonia,23171876663.67765,1320988.125,76.58327526132403,3.625,9.166666666666666,2012-2016
"Eswatini, the Kingdom of",4318554579.914126,1307345.6666666667,56.120400000000004,61.0,400.5,2012-2016
Ethiopia,60766364210.65912,98655391.33333333,64.4548,66.28333333333333,397.0,2012-2016
Fiji,4456702724.194612,889254.6666666666,69.9534,24.55,31.5,2012-2016
Finland,253720543290.58218,5466765.333333333,81.20878048780493,2.483333333333334,3.0,2012-2016
France,2639360251609.1455,66224832.85714286,82.1780487804878,4.157142857142857,8.8,2012-2016
Gabon,15992727492.148117,1897483.1666666667,65.16120000000001,53.56666666666667,302.0,2012-2016
Gambia,925586279.8018919,1912587.0,60.519166666666656,70.91428571428573,729.8,2012-2016
Georgia,14762478616.037624,3785312.5,72.88728571428571,13.4125,38.166666666666664,2012-2016
Germany,3590720767633.954,81508734.0,80.56504065040649,3.928571428571428,6.4,2012-2016
